Loan Term (months),Default Amount,Servicer Fee,SeniorLoanStatus,OutstandingBalance,Product,TotalInterestPaid,Default - Servicer Definition,Unique ID,Employer,Bucket,MaxArrears,TermOutstanding,APR/Interest Rate,LoanStatus,Start Date,CCJ_LTM,OPB,PurposeOfLoan,Unnamed: 16,DelinquentEver,DelinquentEverDate,BorrowerStatus,Default Date,TotalCapitalPaid,Original Principal Balance,MonthlyPayment,Credit Score,DelinquentAccountStatus,MaxArrearsDate,Seasoning,Currency_Name,Eligibility Flag,Days Past Due,Status of Loan,Country,LTV (for secured products),Currency
60,,1.00,Default,0.00,Neyber Loan,2643.62,Non Default,5672,Police Mutual,OK,0,0,14.90,Repaid,2016-12-15,0,0.00,Other,0,0,, ,,12000.00,"12,000",279.03,282,Closed,,79,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,3251.13,Non Default,7614,Police Mutual,Great,0,0,6.90,Repaid,2017-05-05,0,0.00,Debt Consolidation,0,0,, ,,25000.00,"25,000",491.39,426,Closed,,74,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1637.37,Non Default,28249,Police Mutual,Good,0,0,9.90,Repaid,2018-10-02,0,0.00,Car purchase,0,0,, ,,8500.00,"8,500",178.42,365,Closed,,57,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,307.13,Non Default,7313,Police Mutual,Great,0,0,4.90,Repaid,2017-06-23,0,0.00,Home Improvements,0,0,, ,,5000.00,"5,000",114.68,438,Closed,,73,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,2.00,Default,0.00,Neyber Loan,283.64,Non Default,41945,Police Mutual,Good,0,0,13.90,Repaid,2019-12-17,0,0.00,Car purchase,0,0,, ,,3000.00,"3,000",68.05,392,Closed,,43,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,2122.19,Non Default,36039,Police Mutual,Good,0,0,8.90,Repaid,2019-11-05,0,0.00,Debt Consolidation,0,0,,,,16500.00,"16,500",519.94,423,Closed,,44,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,766.81,Non Default,11353,Police Mutual,Good,0,0,9.90,Repaid,2017-09-21,0,0.00,Debt Consolidation,0,0,, ,,5000.00,"5,000",160.11,399,Closed,,70,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,184.78,Non Default,34458,Police Mutual,Great,1,0,8.90,Repaid,2019-08-22,0,0.00,Debt Consolidation,0,1,2019-09-24,Cleared Arrears ,,2000.00,"2,000",91.03,537,Closed,2019-09-24,47,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,1091.92,Non Default,34096,Police Mutual,Good,0,0,8.90,Repaid,2019-08-01,0,0.00,Other,0,0,,,,7000.00,"7,000",172.52,422,Closed,,47,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,1847.98,Non Default,6115,Police Mutual,OK,0,0,14.90,Repaid,2017-02-06,0,0.00,Debt Consolidation,0,0,, ,,9100.00,"9,100",248.53,277,Closed,,77,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,217.66,Non Default,24387,Police Mutual,Great,0,0,4.90,Repaid,2018-04-18,0,0.00,Debt Consolidation,0,0,, ,,5600.00,"5,600",128.44,455,Closed,,63,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,655.83,Non Default,30428,Police Mutual,Great,0,0,4.90,Repaid,2019-01-23,0,0.00,Debt Consolidation,0,0,,,,6500.00,"6,500",149.08,500,Closed,,54,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,1831.71,Non Default,27908,Police Mutual,OK,0,0,14.90,Repaid,2018-09-19,0,0.00,Debt Consolidation,0,0,, ,,8000.00,"8,000",273.3,346,Closed,,58,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,483.78,Non Default,12090,Police Mutual,Great,0,0,4.90,Repaid,2017-10-31,0,0.00,Car purchase,0,0,, ,,9000.00,"9,000",168.99,514,Closed,,69,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,506.89,Non Default,6066,Police Mutual,Good,0,0,9.90,Repaid,2017-02-16,0,0.00,Car purchase,0,0,, ,,3400.00,"3,400",108.88,393,Closed,,77,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,338.87,Non Default,7535,Police Mutual,Great,0,0,4.90,Repaid,2017-07-26,0,0.00,Home Improvements,0,0,, ,,7500.00,"7,500",140.83,505,Closed,,72,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,183.04,Non Default,11464,Police Mutual,Great,0,0,8.90,Repaid,2017-10-02,0,0.00,Other,0,0,, ,,2000.00,"2,000",90.96,511,Closed,,69,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,305.10,Non Default,27749,Police Mutual,Good,0,0,9.90,Repaid,2018-09-07,0,0.00,Other,0,0,, ,,3000.00,"3,000",137.71,401,Closed,,58,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1473.73,Non Default,5686,Police Mutual,Good,1,0,4.20,Repaid,2016-12-16,0,0.00,Debt Consolidation,0,1,2018-08-20,Cleared Arrears ,,14700.00,"14,700",271.64,404,Closed,2018-08-20,79,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,3914.00,Non Default,35451,Police Mutual,Great,0,0,8.90,Repaid,2019-10-10,0,0.00,Car purchase,0,0,,,,20000.00,"20,000",409.42,460,Closed,,45,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
