Loan Term (months),Default Amount,Servicer Fee,SeniorLoanStatus,OutstandingBalance,Product,TotalInterestPaid,Default - Servicer Definition,Unique ID,Employer,Bucket,MaxArrears,TermOutstanding,APR/Interest Rate,LoanStatus,Start Date,CCJ_LTM,OPB,PurposeOfLoan,Unnamed: 16,DelinquentEver,DelinquentEverDate,BorrowerStatus,Default Date,TotalCapitalPaid,Original Principal Balance,MonthlyPayment,Credit Score,DelinquentAccountStatus,MaxArrearsDate,Seasoning,Currency_Name,Eligibility Flag,Days Past Due,Status of Loan,Country,LTV (for secured products),Currency
60,,2.00,Up-To-Date,1840.82,Neyber Loan,1316.66,Non Default,34973,Police Mutual,Great,0,15,8.90,Active,2019-09-18,0,1751.51,Car purchase,0,0,,,,4248.49,"6,000",123.67,541,Up-To-Date,,46,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,647.48,Non Default,38154,Police Mutual,OK,0,0,18.90,Repaid,2019-11-25,0,0.00,Debt Consolidation,0,0,, ,,13600.00,"13,600",342.17,310,Closed,,44,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,2.00,Default,0.00,Neyber Loan,295.59,Non Default,41928,Police Mutual,Great,4,0,3.90,Repaid,2019-12-18,0,0.00,Car purchase,0,1,2020-01-01,,2023-05-01,5000.00,"5,000",147.09,571,Closed,2023-01-01,43,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
72,,1.00,Default,0.00,Neyber Loan,1134.97,Non Default,677,Police Mutual,Great,0,0,4.20,Repaid,2015-07-21,0,0.00,Home Improvements,0,0,, ,,14000.00,"14,000",220.07,493,Closed,,96,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,3593.08,Non Default,10854,Police Mutual,Great,2,0,6.90,Repaid,2017-08-21,0,0.00,Debt Consolidation,0,1,2022-06-08,,,20000.00,"20,000",393.11,484,Closed,2022-07-08,71,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,434.36,Non Default,9519,Police Mutual,Great,0,0,4.90,Repaid,2016-08-23,0,0.00,Debt Consolidation,0,0,, ,,7500.00,"7,500",140.99,494,Closed,,83,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,192.41,Non Default,24630,Police Mutual,Great,0,0,8.90,Repaid,2018-04-25,0,0.00,Home Improvements,0,0,, ,,3000.00,"3,000",136.44,483,Closed,,63,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,2.00,Default,0.00,Neyber Loan,751.22,Non Default,4706,Police Mutual,Good,2,0,4.90,Repaid,2016-06-10,0,0.00,Other,0,1,2017-03-31,Cleared Arrears ,,6000.00,"6,000",112.97,409,Closed,2019-11-30,85,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1207.66,Non Default,10878,Police Mutual,Great,0,0,4.90,Repaid,2017-08-08,0,0.00,Car purchase,0,0,, ,,10000.00,"10,000",187.77,498,Closed,,71,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,2.00,Default,0.00,Neyber Loan,226.11,Non Default,38473,Police Mutual,Great,0,0,3.90,Repaid,2019-12-06,0,0.00,Debt Consolidation,0,0,, ,,9600.00,"9,600",215.95,599,Closed,,43,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,228.89,Non Default,30474,Police Mutual,Great,0,0,8.90,Repaid,2019-01-23,0,0.00,Home Improvements,0,0,, ,,2500.00,"2,500",113.7,554,Closed,,54,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,924.02,Non Default,29293,Police Mutual,Great,0,0,8.90,Repaid,2018-11-20,0,0.00,Debt Consolidation,0,0,,,,4500.00,"4,500",92.45,516,Closed,,56,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,2.00,Default,0.00,Neyber Loan,543.47,Non Default,33358,Police Mutual,Great,0,0,3.90,Repaid,2019-06-21,0,0.00,Car purchase,0,0,,,,9000.00,"9,000",265.1,562,Closed,,49,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,2326.34,Non Default,814,Police Mutual,Good,0,0,11.90,Repaid,2016-02-26,0,0.00,Car purchase,0,0,, ,,13000.00,"13,000",284.76,352,Closed,,89,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Up-To-Date,1306.90,Neyber Loan,1785.90,Non Default,31877,Police Mutual,Great,0,8,8.90,Active,2019-04-01,0,1265.70,Car purchase,0,0,,,,6734.30,"8,000",163.85,541,Up-To-Date,,51,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,282.01,1.00,Default,0.00,Neyber Loan,1815.11,Non Default,12372,Police Mutual,Great,4,0,4.90,Repaid,2017-12-28,0,0.00,Car purchase,0,1,2022-03-23,,2022-07-21,15000.00,"15,000",281.65,515,Closed,2022-03-23,67,GBP,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,487.00,Non Default,7407,Police Mutual,Good,0,0,9.90,Repaid,2017-07-14,0,0.00,Debt Consolidation,0,0,, ,,5000.00,"5,000",104.95,377,Closed,,72,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Up-To-Date,3146.78,Neyber Loan,1656.59,Non Default,36266,Police Mutual,Great,0,16,6.90,Active,2019-11-12,0,3001.79,Other,0,0,,,,6998.21,"10,000",196.7,442,Up-To-Date,,44,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Up-To-Date,697.12,Neyber Loan,1725.72,Non Default,35404,Police Mutual,Great,0,3,8.90,Active,2019-10-07,0,692.12,Car purchase,0,0,,,,8807.88,"9,500",234.08,475,Up-To-Date,,45,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Up-To-Date,4015.08,Neyber Loan,3484.90,Non Default,35702,Police Mutual,Good,1,18,13.90,Active,2019-10-18,0,3640.07,Debt Consolidation,0,1,2020-12-31,,,6359.93,"10,000",228.95,380,Up-To-Date,2022-12-29,45,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1010.87,Non Default,2606,Police Mutual,Great,0,0,4.20,Repaid,2016-02-04,0,0.00,Car purchase,0,0,, ,,10000.00,"10,000",184.65,626,Closed,,89,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
12,,1.00,Default,0.00,Neyber Loan,112.28,Non Default,31618,Police Mutual,Great,0,0,8.90,Repaid,2019-03-20,0,0.00,Other,0,0,, ,,3000.00,"3,000",262.54,500,Closed,,52,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,415.62,Non Default,10884,Police Mutual,Great,2,0,8.90,Repaid,2017-08-10,0,0.00,Wedding loan,0,1,2017-10-09, ,,3000.00,"3,000",94.78,427,Closed,2017-11-09,71,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,3321.51,Non Default,5977,Police Mutual,OK,0,0,14.90,Repaid,2017-01-31,0,0.00,Debt Consolidation,0,0,, ,,11500.00,"11,500",313.84,244,Closed,,78,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,2988.07,Non Default,12866,Police Mutual,Good,2,0,9.90,Repaid,2018-01-29,0,0.00,Debt Consolidation,0,1,2023-01-25,PRI - Loan balance error - Do not contact,,11500.00,"11,500",241.39,422,Closed,2023-01-25,66,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1321.58,Non Default,28938,Police Mutual,Great,0,0,4.90,Repaid,2018-11-05,0,0.00,Home Improvements,0,0,, ,,14900.00,"14,900",279.77,539,Closed,,56,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,681.60,Non Default,10594,Police Mutual,Great,0,0,4.20,Repaid,2016-10-11,0,0.00,Debt Consolidation,0,0,, ,,8000.00,"8,000",148.11,450,Closed,,81,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,194.28,Non Default,32628,Police Mutual,Great,0,0,8.90,Repaid,2019-05-14,0,0.00,Home Improvements,0,0,, ,,6000.00,"6,000",273.02,502,Closed,,50,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,362.74,Non Default,29825,Police Mutual,Good,0,0,8.90,Repaid,2018-12-14,0,0.00,Other,0,0,, ,,2800.00,"2,800",88.46,421,Closed,,55,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1572.00,Non Default,23957,Police Mutual,Great,0,0,4.90,Repaid,2018-04-03,0,0.00,Car purchase,0,0,,,,12500.00,"12,500",234.71,563,Closed,,63,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,472.87,Non Default,6376,Police Mutual,OK,0,0,14.90,Repaid,2017-04-03,0,0.00,Debt Consolidation,0,0,, ,,4000.00,"4,000",191.99,323,Closed,,75,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,632.25,Non Default,10945,Police Mutual,Great,0,0,4.90,Repaid,2017-08-23,0,0.00,Debt Consolidation,0,0,, ,,9500.00,"9,500",283.84,463,Closed,,71,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,2.00,Default,0.00,Neyber Loan,446.97,Non Default,35689,Police Mutual,Great,0,0,8.90,Repaid,2019-10-18,0,0.00,Debt Consolidation,0,0,, ,,5500.00,"5,500",249.56,451,Closed,,45,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,610.55,Non Default,23543,Police Mutual,Great,0,0,8.90,Repaid,2018-03-09,0,0.00,Other,0,0,, ,,4300.00,"4,300",135.85,517,Closed,,64,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
12,,1.00,Default,0.00,Neyber Loan,77.89,Non Default,22995,Police Mutual,Great,0,0,8.90,Repaid,2018-02-15,0,0.00,Other,0,0,, ,,2000.00,"2,000",174.49,495,Closed,,65,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,606.08,Non Default,5303,Police Mutual,Great,0,0,4.20,Repaid,2016-11-07,0,0.00,Debt Consolidation,0,0,, ,,10000.00,"10,000",295.78,502,Closed,,80,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,506.92,Non Default,7333,Police Mutual,Great,0,0,4.90,Repaid,2017-07-13,0,0.00,Car purchase,0,0,, ,,10000.00,"10,000",437.79,503,Closed,,72,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,712.55,Non Default,24578,Police Mutual,Great,0,0,4.90,Repaid,2018-04-30,0,0.00,Car purchase,0,0,, ,,10000.00,"10,000",187.77,433,Closed,,63,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Up-To-Date,3148.51,Neyber Loan,1663.08,Non Default,36719,Police Mutual,Great,0,16,6.90,Active,2019-11-14,0,3003.44,Car purchase,0,0,,,,6996.56,"10,000",196.81,539,Up-To-Date,,44,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Up-To-Date,947.28,Neyber Loan,3960.28,Non Default,28256,Police Mutual,Good,0,3,9.90,Active,2018-10-04,0,932.32,Debt Consolidation,0,0,,,,14067.68,"15,000",314.86,372,Up-To-Date,,57,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,885.95,Non Default,26655,Police Mutual,Great,0,0,4.90,Repaid,2018-07-20,0,0.00,Debt Consolidation,0,0,,,,7000.00,"7,000",131.44,524,Closed,,60,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,374.30,Non Default,11867,Police Mutual,Great,0,0,8.90,Repaid,2017-11-08,0,0.00,Wedding loan,0,0,, ,,2600.00,"2,600",82.59,462,Closed,,68,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,2121.24,Non Default,9145,Police Mutual,Great,0,0,5.90,Repaid,2016-02-05,0,0.00,Debt Consolidation,0,0,, ,,20800.00,"20,800",401.12,515,Closed,,89,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,2326.46,Non Default,8592,Police Mutual,Good,0,0,11.90,Repaid,2016-05-19,0,0.00,Car purchase,0,0,, ,,8000.00,"8,000",175.81,358,Closed,,86,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,4213.64,Non Default,5660,Police Mutual,Great,0,0,6.90,Repaid,2017-01-10,0,0.00,Debt Consolidation,0,0,, ,,24000.00,"24,000",471.74,443,Closed,,78,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,884.89,Non Default,7387,Police Mutual,Great,0,0,4.90,Repaid,2017-06-29,0,0.00,Debt Consolidation,0,0,,,,7000.00,"7,000",131.44,446,Closed,,73,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,2.00,Default,0.00,Neyber Loan,404.79,Non Default,35446,Police Mutual,Great,0,0,8.90,Repaid,2019-10-10,0,0.00,Home Improvements,0,0,,,,3000.00,"3,000",94.62,505,Closed,,45,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,954.79,Non Default,3816,Police Mutual,Great,4,0,4.20,Repaid,2016-07-06,0,0.00,Debt Consolidation,0,1,2017-11-30,Cleared Arrears ,2021-09-28,9000.00,"9,000",166.15,470,Closed,2021-05-31,84,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,2.00,Default,0.00,Neyber Loan,6207.82,Non Default,24131,Police Mutual,OK,2,0,14.90,Repaid,2018-04-13,0,0.00,Debt Consolidation,0,1,2018-12-31,Direct Customer Forbearance - Promise to Pay - Pending,,15000.00,"15,000",351.22,348,Closed,2023-04-16,63,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,890.25,Non Default,8593,Police Mutual,Great,0,0,4.20,Repaid,2016-03-21,0,0.00,Debt Consolidation,0,0,, ,,15000.00,"15,000",444.21,540,Closed,,88,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,190.22,Non Default,12774,Police Mutual,Good,0,0,8.90,Repaid,2018-01-11,0,0.00,Debt Consolidation,0,0,, ,,2500.00,"2,500",113.7,403,Closed,,66,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,2.00,Default,0.00,Neyber Loan,1211.01,Non Default,12855,Police Mutual,Great,0,0,4.90,Repaid,2018-01-25,0,0.00,Debt Consolidation,0,0,,,,12000.00,"12,000",275.23,451,Closed,,66,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,2.00,Default,0.00,Neyber Loan,342.50,Non Default,2867,Police Mutual,Great,1,0,6.90,Repaid,2016-06-02,0,0.00,Holiday/Travel,0,1,2018-01-30,Other ,,2000.00,"2,000",39.3,518,Closed,2018-07-30,85,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1269.07,Non Default,5838,Police Mutual,Good,0,0,9.90,Repaid,2017-02-13,0,0.00,Car purchase,0,0,, ,,5000.00,"5,000",104.95,376,Closed,,77,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,2498.56,Non Default,34580,Police Mutual,Great,0,0,8.90,Repaid,2019-08-29,0,0.00,Debt Consolidation,0,0,,,,13000.00,"13,000",267.19,426,Closed,,47,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,3990.48,Non Default,31261,Police Mutual,Great,0,0,8.90,Repaid,2019-03-01,0,0.00,Debt Consolidation,0,0,,,,18500.00,"18,500",380.42,472,Closed,,52,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,631.37,Non Default,2539,Police Mutual,Great,0,0,4.20,Repaid,2016-08-16,0,0.00,Car purchase,0,0,, ,,12500.00,"12,500",231.3,509,Closed,,83,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,959.23,Non Default,30300,Police Mutual,Great,0,0,4.90,Repaid,2019-01-15,0,0.00,Home Improvements,0,0,, ,,15000.00,"15,000",281.65,528,Closed,,54,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Up-To-Date,146.45,Neyber Loan,1246.31,Non Default,35482,Police Mutual,Great,0,1,8.90,Active,2019-10-10,0,145.39,Car purchase,0,0,,,,6854.61,"7,000",172.36,531,Up-To-Date,,45,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,729.24,Non Default,4110,Police Mutual,Great,0,0,4.20,Repaid,2016-11-21,0,0.00,Debt Consolidation,0,0,, ,,10000.00,"10,000",184.92,517,Closed,,80,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,455.01,Non Default,124,Police Mutual,Great,0,0,4.90,Repaid,2016-07-11,0,0.00,Wedding loan,0,0,, ,,7500.00,"7,500",224.69,546,Closed,,84,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,372.62,Non Default,32408,Police Mutual,Great,4,0,8.90,Repaid,2019-04-29,0,0.00,Car purchase,0,1,2021-01-01,,2022-09-29,2700.00,"2,700",85.34,503,Closed,2022-06-01,51,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,542.10,Non Default,32516,Police Mutual,Great,0,0,8.90,Repaid,2019-05-07,0,0.00,Car purchase,0,0,,,,3000.00,"3,000",73.8,509,Closed,,50,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,530.12,Non Default,6135,Police Mutual,Good,1,0,9.90,Repaid,2017-02-07,0,0.00,Wedding loan,0,1,2018-01-06, ,,4000.00,"4,000",83.96,415,Closed,2018-03-06,77,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,7000.00,1.00,Default,5666.94,Neyber Loan,4220.65,Default,24547,Police Mutual,Good,4,25,9.90,Active,2018-05-01,0,5625.28,Home Improvements,0,1,2018-06-25,,2018-10-23,1374.72,"7,000",223.81,382,Default,2019-11-30,62,GBP,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1975.58,Non Default,10970,Police Mutual,OK,0,0,14.90,Repaid,2017-08-16,0,0.00,Debt Consolidation,0,0,,,,5000.00,"5,000",116.26,322,Closed,,71,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,860.03,Non Default,3795,Police Mutual,Great,0,0,4.20,Repaid,2016-06-21,0,0.00,Debt Consolidation,0,0,, ,,15000.00,"15,000",277.35,427,Closed,,85,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,1680.43,Non Default,34057,Police Mutual,Good,0,0,13.90,Repaid,2019-07-30,0,0.00,Debt Consolidation,0,0,,,,8000.00,"8,000",269.01,404,Closed,,48,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,2.00,Default,0.00,Neyber Loan,375.45,Non Default,34549,Police Mutual,Great,0,0,3.90,Repaid,2019-08-29,0,0.00,Car purchase,0,0,,,,5500.00,"5,500",123.68,569,Closed,,47,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,379.37,Non Default,11244,Police Mutual,Great,0,0,4.90,Repaid,2017-09-06,0,0.00,Car purchase,0,0,, ,,10000.00,"10,000",187.77,453,Closed,,70,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,7640.56,2.00,Default,7857.76,Neyber Loan,857.41,Default,31156,Police Mutual,Great,4,32,8.90,Active,2019-02-25,0,7640.56,Debt Consolidation,0,1,2020-05-04,Deceased - Deceased - Confirmed,2020-09-01,2359.44,"10,000",247.45,496,Default,2020-05-04,53,GBP,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,141.49,Non Default,5464,Police Mutual,Good,0,0,6.90,Repaid,2016-12-20,0,0.00,Debt Consolidation,0,0,, ,,2000.00,"2,000",89.27,420,Closed,,79,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,475.85,Non Default,9876,Police Mutual,Great,0,0,4.90,Repaid,2017-06-02,0,0.00,Debt Consolidation,0,0,, ,,10100.00,"10,100",189.62,443,Closed,,73,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Up-To-Date,624.63,Neyber Loan,3884.00,Non Default,27567,Police Mutual,OK,0,2,9.90,Active,2018-09-04,0,622.12,Debt Consolidation,0,0,,,,14377.88,"15,000",314.86,319,Up-To-Date,,58,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,832.81,Non Default,12276,Police Mutual,Great,0,0,4.90,Repaid,2017-12-04,0,0.00,Home Improvements,0,0,, ,,11600.00,"11,600",217.81,523,Closed,,67,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,293.11,Non Default,11112,Police Mutual,Good,0,0,9.90,Repaid,2017-08-29,0,0.00,Car purchase,0,0,, ,,4700.00,"4,700",150.5,403,Closed,,71,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,706.59,Non Default,28368,Police Mutual,Great,0,0,4.90,Repaid,2018-10-08,0,0.00,Debt Consolidation,0,0,, ,,14000.00,"14,000",262.87,494,Closed,,57,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
24,,1.00,Default,0.00,Neyber Loan,831.66,Non Default,34316,Police Mutual,Good,0,0,13.90,Repaid,2019-08-14,0,0.00,Debt Consolidation,0,0,, ,,6100.00,"6,100",288.89,408,Closed,,47,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,854.58,Non Default,5136,Police Mutual,Great,0,0,4.20,Repaid,2016-10-06,0,0.00,Other,0,0,, ,,12500.00,"12,500",230.89,448,Closed,,81,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1047.75,Non Default,2578,Police Mutual,Great,0,0,4.20,Repaid,2016-02-29,0,0.00,Debt Consolidation,0,0,, ,,15000.00,"15,000",277.07,477,Closed,,89,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,629.60,Non Default,8324,Police Mutual,Great,0,0,4.90,Repaid,2016-10-20,0,0.00,Car purchase,0,0,,Query ,,5000.00,"5,000",94.03,469,Closed,,81,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,532.03,Non Default,830,Police Mutual,Good,0,0,4.90,Repaid,2016-05-19,0,0.00,Debt Consolidation,0,0,, ,,7000.00,"7,000",209.47,423,Closed,,86,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,8924.91,1.00,Default,4129.93,Neyber Loan,1984.34,Default,6625,Police Mutual,OK,4,16,14.90,Active,2017-03-20,0,4129.93,Debt Consolidation,0,1,2018-07-20,Insolvency - Individual Voluntary Arrangement - Closed,2018-07-31,6870.07,"11,000",255.78,327,Default,2019-06-20,76,GBP,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Up-To-Date,547.72,Neyber Loan,665.25,Non Default,32211,Police Mutual,Great,0,9,8.90,Active,2019-04-17,0,532.32,Home Improvements,0,0,,,,2467.68,"3,000",61.43,506,Up-To-Date,,51,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,1086.89,Non Default,11934,Police Mutual,Great,0,0,4.90,Repaid,2017-11-09,0,0.00,Other,0,0,, ,,13500.00,"13,500",309.63,499,Closed,,68,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,333.95,1.00,Default,333.95,Neyber Loan,1506.49,Default,30508,Police Mutual,Great,4,1,4.90,Active,2019-01-31,0,333.95,Car purchase,0,1,2019-02-24,,2023-03-28,14666.05,"15,000",344.04,507,Default,2022-11-28,54,GBP,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,687.83,Non Default,11710,Police Mutual,Good,0,0,9.90,Repaid,2017-10-09,0,0.00,Debt Consolidation,0,0,, ,,10000.00,"10,000",209.91,352,Closed,,69,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
